tri,mean_2.5,mean_no2,mean_nh3,mean_so2,mean_co,mean_03,mean_aqi,Station
1,106.64087301587301,31.47851669403394,4.953475643130815,5.707580733442803,32.40106936074678,17.541666666666668,118.2063492063492,Bollaram2019
2,67.9753086419753,32.32098765432099,6.04641975308642,9.567901234567902,20.849382716049384,35.94620811287478,94.80246913580247,Bollaram2019
3,41.13831168831169,33.53333333333333,7.925308641975309,30.95327468230694,15.764055299539171,27.399141181399248,64.90887445887446,Bollaram2019
1,88.49475947934351,56.04434335079496,4.295331311460344,8.558551216751557,27.028920004726455,76.40529363110008,113.2457757296467,Central2019
2,45.99885304659498,30.56817204301075,2.720967741935484,4.896089931573803,23.837965260545907,70.83888888888889,85.4562724014337,Central2019
3,18.128429118773944,18.50483870967742,2.011827956989247,2.2106246799795186,18.57921146953405,19.70137759904167,38.148975934459806,Central2019
1,95.12481389578164,26.669406041986687,3.296364567332309,12.625345622119816,26.504608294930875,32.230056323604714,116.33149001536098,ICRISAT2019
2,48.03047830923248,19.15304659498208,2.4860215053763444,11.321710189452125,17.648028673835125,52.72724014336917,84.26523297491039,ICRISAT2019
3,27.32428889242015,8.336200716845878,1.3218637992831541,6.213824884792627,14.619354838709677,20.538759115066124,34.824026696329256,ICRISAT2019
1,108.74624226348365,61.302404584662646,4.846153846153846,21.68821733821734,33.165066564260115,28.271292029356545,117.98829764421163,IDA2019
2,54.593150183150186,37.714285714285715,3.0357142857142856,8.963464696223317,27.94731182795699,22.487577639751553,84.9504761904762,IDA2019
3,29.441975308641975,38.89473684210526,5.2218045112781954,4.123333333333333,21.551309622277365,9.35432098765432,46.47802197802198,IDA2019
1,115.19986314760509,51.76357176250585,NaN,12.608150225962287,28.674524400330853,35.3974358974359,115.19986314760509,Sanathnagar2019
2,64.57038788298159,40.207766487126804,NaN,10.531026153589872,27.71904761904762,38.787301587301585,64.7955829777419,Sanathnagar2019
3,38.06164994425864,23.349164851125636,NaN,6.250167029774873,29.658991472005933,11.018458781362007,39.04888888888889,Sanathnagar2019
1,125.59978632478632,97.63863247863249,5.385767372723895,3.207692307692308,35.925389157273216,35.0025641025641,131.22735042735044,Zoo2019
2,78.75224533482248,47.23784461152882,3.357560568086884,2.929657477025898,20.99047619047619,49.42456140350877,95.26165413533835,Zoo2019
3,33.54974358974359,17.90218423551757,1.3808167141500474,1.5350807217473883,16.305008210180624,26.599715099715098,42.359297245963916,Zoo2019
