tri,mean_aqi,mean_2.5,mean_pm10,mean_no2,mean_nh3,mean_so2,mean_co,mean_03,Station
1,93.14791346646186,77.30286738351255,91.31656426011264,33.284242191500255,5.640296979006656,11.532706093189963,24.369429057601103,23.15232974910394,Bollaram2020
2,69.5324243657577,43.60069868403202,65.06328856328857,20.727682811016145,8.305148555148556,12.892857142857142,17.39080459770115,18.057471264367816,Bollaram2020
3,44.21944444444445,31.91594202898551,44.62979797979798,21.59102564102564,8.138461538461538,19.23111111111111,11.863228169679783,18.66521918941274,Bollaram2020
1,83.57278173082771,56.218725293437934,83.98808003405705,40.76453810131971,6.7461898680289485,4.1972256138922805,24.25,25.0678531701891,Central2020
2,59.719304152637484,35.711868686868684,56.69867339057744,34.854510623476145,2.634622082897945,6.450865800865801,15.778235076010382,24.196798912371772,Central2020
3,37.013855340848096,30.693370907139023,35.76325757575758,25.30485104669887,2.283749329039184,5.847658346752549,10.413978494623656,23.833888499298737,Central2020
1,90.40760389036251,72.96595932802829,104.48977011494253,23.434227330779056,3.234993614303959,10.702000851426138,29.89729328883945,23.221357063403783,ICRISAT2020
2,55.01555555555556,39.741379310344826,55.36049382716049,9.357777777777777,2.6155555555555554,6.92,21.53095238095238,17.136781609195403,ICRISAT2020
3,27.461206896551722,21.505681818181817,26.097465369879163,5.826388888888889,2.209722222222222,4.6194444444444445,15.755152329749103,17.51514336917563,ICRISAT2020
1,90.81022408963585,75.96860410830999,90.21407024348201,48.06190994916485,1.4074074074074074,8.726513682396035,26.562610229276896,16.67063492063492,IDA2020
2,62.596588802373006,43.00360873694207,61.62911877394636,43.0018539117538,1.6089367816091955,7.9503284072249585,25.380941787170933,19.54597701149425,IDA2020
3,52.05232974910394,23.90952380952381,36.53763440860215,45.437992831541216,2.1369895536562202,6.804659498207886,23.355933890880127,2.595430107526882,IDA2020
1,92.1628086419753,90.52278265107212,NaN,34.92791005291005,NaN,15.459331880900507,33.285457271364315,29.497995873857946,Sanathnagar2020
2,47.29766081871345,47.00777211846821,NaN,17.82063492063492,NaN,12,20.638351254480288,31.321505376344085,Sanathnagar2020
3,25.337777777777777,15.168888888888889,NaN,19.34747474747475,NaN,7.633333333333333,17.80861708482676,13.247560732775787,Sanathnagar2020
1,110.25089605734766,106.43010752688171,101.57789077811326,59.406451612903226,3.8186379928315413,2.595698924731183,34.263440860215056,22.03416965352449,Zoo2020
2,68.09209911173446,66.87590187590187,73.65,48.67427769985975,2.807461430575035,4.126077606358111,22.373610961268746,18.97355981507454,Zoo2020
3,45.528609831029186,32.752663281561134,43.25892857142857,40.05779569892473,2.032258064516129,5.097491039426523,10.396908602150537,14.973118279569892,Zoo2020
